5: "ABANIN"
3605: "SAN PABLO DE USHPAYACU"
3610: "SAN PEDRO DE LA BENDITA"
3615: "PUERTO LIBRE"
3625: "SAN PLACIDO"
3630: "SAN RAFAEL"
3632: "SANTA MARIA"
3635: "EL PARAISO / LA 14"
3640: "SAN ROQUE"
3645: "SAN ROQUE"
3650: "SAN ROQUE"
3655: "SAN SEBASTIAN"
3660: "SAN SEBASTIAN DE COCA"
3665: "SAN SEBASTIAN DE YULUC"
3670: "SAN SIMON"
3680: "SAN VICENTE DE PUSIR"
3685: "SANTA ANA"
3690: "SANTA BARBARA"
3705: "SANTA ELENA"
3710: "SANTA FE"
3720: "STA. MARIA DE HUIRIRIMA"
3725: "SANTA RITA"
3730: "SANTA ROSA"
3735: "STA.ROSA DE CUSUBAMBA"
3740: "SANTA ROSA DE FLANDES"
3745: "SANTA ROSA DE QUIJOS"
3750: "SANTA ROSA DE SUCUMBIOS"
3755: "SANTA RUFINA"
3760: "SANTA SUSANA DE CHIVIAZA"
3765: "SANTA TERESITA"
3770: "SANTIAGO"
3775: "SANTIAGO"
3780: "SIMON BOLIVAR"
3785: "ZARAYACU"
3790: "SARDINAS"
3795: "SAYAUSI"
3800: "6 DE JULIO DE CUELLAJE"
3805: "SELVA ALEGRE"
3810: "SELVA ALEGRE"
3815: "SELVA ALEGRE"
3820: "SEVILLA"
3830: "SEVILLA DON BOSCO"
3835: "SHAGLLI"
3840: "SHELL"
3845: "SIBAMBE"
3850: "SIDCAY"
3860: "SIMIATUG"
3870: "SININCAY"
3875: "SOLANO"
3880: "SUA/BOCANA"
3885: "SUCRE"
3890: "SUMACO"
3900: "SAN VICENTE"
3905: "SALASACA"
3915: "SIMON BOLIVAR"
3920: "SAN CARLOS DE LIMON"
3925: "TABABELA"
3930: "TABIAZO"
3935: "TACAMOROS"
3940: "TACHINA"
3945: "TADAY"
3955: "TAMBILLO"
3960: "TAMBILLO"
3965: "TANICUCHI"
3970: "TAQUIL /MIGUEL RIOFRIO"
3975: "TARIFA"
3980: "TARQUI"
3985: "TARQUI"
3990: "TAURA"
3995: "TELIMBELA"
4000: "TENDALES"
4005: "TNTE. HUGO ORTIZ"
4010: "TIMBARA"
4015: "TINGO"
4030: "TIXAN"
4035: "TOACAZO"
4040: "TOBAR DONOSO"
4045: "TOCACHI"
4050: "TOMEBAMBA"
4055: "TONCHIGUE"
4065: "TOTORAS"
4070: "TUFIÑO"
4075: "TULULBI /RICAURTE"
4080: "TUMBABIRO"
4085: "TUMBACO"
4090: "TUPIGACHI"
4095: "TURI"
4100: "TURUPAMBA"
4105: "TUTUPALI"
4110: "EL TRIUNFO"
4115: "TAYUZA"
4120: "TENGUEL"
4125: "URBINA"
4130: "URBINA"
4135: "ULBA"
4145: "URDANETA/PAQUISHAPA"
4150: "UTUANA"
4155: "UYUMBICHO"
4160: "UZHCURRUMI"
4165: "TOMAS DE BERLANGA"
4170: "TELEMBI"
4185: "VACAS GALINDO"
4195: "VALLADOLID"
4200: "VALLE"
4205: "VERACRUZ"
4210: "VICENTINO"
4215: "VICTORIA"
4220: "VICTORIA"
4225: "VICTORIA DEL PORTETE"
4230: "VICHE"
4235: "VILCABAMBA/VICTORIA"
4240: "VUELTA LARGA"
4275: "YAGUACHI VIEJO/CONE"
4280: "YANGANA / ARSENIO CASTILLO"
4290: "YARUQUI"
4295: "YASUNI"
4300: "YAUPI"
4305: "YUNGANZA /EL ROSARIO"
4310: "YANAYACU MOCHAPATA"
4325: "ZAMBIZA"
4330: "ZAPOTAL"
4340: "ZHIDMAD"
4345: "ZHUD"
4360: "ZUNAC"
4365: "ZUMBAHUA"
4385: "TRIUNFO DORADO"
4415: "ISLA SANTA MARIA"
4420: "LA ESPERANZA"
4425: "SAN CARLOS"
4430: "SANTIAGO DE QUITO"
4440: "PUERTO LIMON"
4445: "ARCAPAMBA"
4450: "MULUNCAY GRANDE"
4455: "ZAMBI"
4460: "27 DE ABRIL /LA NARANJA"
4465: "SANTO DOMINGO DE ONZOLE"
4475: "CHANTACO"
4480: "CORDONCILLO"
4485: "SINAI"
4490: "MEMBRILLAL"
4495: "CASACAY"
4500: "EL LAUREL"
4505: "SAN FRANCISCO DEL VERGEL"
4510: "SIMON BOLIVAR"
4515: "REGULO DE MORA"
4520: "MORALES"
4525: "TORATA"
4530: "SAN JOSE"
4535: "MILAGRO"
4540: "SAN PEDRO DE VILCABAMBA"
4545: "MILAGROS"
4550: "RUMIPAMBA"
4555: "PINGUILI"
4560: "CHUMBLIN"
4565: "EL CABO"
4570: "NUEVO PARAISO"
4575: "PUMPUENTSA"
4580: "SAN JUAN DE MUYUNA"
4585: "LOS ANGELES"
4590: "CHACARITA"
4595: "SANTA LUCIA DE LAS PEÑAS"
4600: "PANGUINTZA"
4605: "CAZADEROS"
4610: "SAN SALVADOR DE CAÑARIBAMBA"
4615: "LA ESMERALDA"
4620: "SAN JOSE DE AYORA"
4625: "10 DE AGOSTO"
4630: "HATUN SUMAKU"
4635: "MONTERREY"
4640: "LA VILLEGAS"
4645: "PLAN PILOTO"
4650: "LA CUCA"
4655: "NANKAIS"
4740: "NUEVA TRONCAL"
4745: "SANSAHUARI"
5005: "ALAMOR"
5010: "ALAUSI"
5015: "CHIMBACALLE"
5020: "AMALUZA"
5025: "ANDRADE MARIN/LOURDES"
5030: "ANDRES DE VERA"
5035: "ANGEL POLIVIO CHAVEZ"
5040: "ARENILLAS"
5045: "ATOCHA FICOA"
5050: "ATUNTAQUI"
5055: "AYACUCHO"
5065: "AZOGUES"
5070: "ARCHIDONA"
5075: "BELLAVISTA"
5080: "CAÑARIBAMBA"
5085: "BABA"
5090: "BAEZA"
5095: "BAHIA DE CARAQUEZ"
5100: "BALZAR"
5105: "BAÑOS"
5115: "BIBLIAN"
5120: "BOCANA"
5125: "BOLIVAR/SAGRARIO"
